Country Name,"Age at first marriage, female","Age at first marriage, male",Capital health expenditure (% of GDP),Death due to disease and nutrition,Death due to injury,"Non-communicable diseases","Community health workers","Condom use, population ages 15-24",Consumption of iodized salt,Current health expenditure (% of GDP),Births attended by skilled health staff,"Contraceptive prevalence, any method",Current health expenditure per capita,Demand for family planning,Absence of Diabetes,Diarrhea treatment,Exclusive breastfeeding,Female headed households,Hospital beds,"Immunization, BCG","Immunization, DPT","Immunization, HepB3","Immunization, Hib3","Immunization, Pol3","Immunization, measles","Immunization, measles second dose",Domestic private health expenditure,Domestic general health expenditure,Incidence of tuberculosis,"Literacy rate, adult total","Literacy rate, youth total",Malaria resistance,Road traffic injury,"Mortality from CVD, cancer, or diabetes",Air pollution,Unintentional poisonings,Unsafe water,Newborns protected against tetanus,Number of undernourished people,Nurses and midwives,People practicing open defecation,Basic drinking water services,Basic sanitation services,Lack of managed drinking water services,Lack of managed sanitation services,Handwashing facilities,Physicians,Low Poverty Frequency,Prevalence of HIV,Prevalence of current tobacco use,Prevalence of hypertension,Lean body composition,Public spending on education,Prevalence of underweight children,Prevalence of anemic women,Unaffordable surgical care,School enrollment,Total alcohol consumption,Specialist surgical workforce,"Suicide mortality rate",Teenage mothers,Unemployment,Unmet contraception need for women,Urban poverty headcount ratio,Rural poverty headcount ratio,Vitamin A supplementation coverage rate,Even societal power distribution,Individualism,Motivation,Adversion to uncertainty,Openness to Change,Positivity,Hepatitis B resistance,Measles,BMI,Diphtheria resistance,HIV/AIDS,GDP,Polio,Schooling,Alcohol,"Life expectancy at birth, total (years)"
Argentina,24.6,26.75,0.0221101626666667,13.9673772355719,6.3709605933643,79.6616627108094,5053479.19905546,5053479.19905546,5053479.19905546,8.5753265925,98.20625,64.725,804.634331703125,5053479.19905546,5.5,59.1,42.975975,5053479.19905546,4.52,97.875,92.375,87.0714285714286,92.375,92.25,94.625,84.6875,317.629132160625,482.163448349375,28.625,98.8057632446289,99.4063898722331,125.125,12.575,18.4125,5053479.19905546,0.6125,5053479.19905546,5053479.19905546,1323076.92307692,1.72566666666667,1.7879095750933,97.8474004326119,91.1261147744298,5053479.19905546,45.4029875206912,5053479.19905546,3.590575,5053479.19905546,0.3625,30.25,43.05625,58.38125,4.71934819221497,2.5,14.30625,7.21538461538462,115.480571746826,7.28981,10.47,8.9375,5053479.19905546,10.709,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,49.0,51.0,56.0,86.0,29.0,62.0,81.2451052631579,2.0,54.98125,92.375,0.1,6998.575103125,93.375,16.50625,7.75717847349177,75.433
Armenia,23.5833333333333,27.4833333333333,0.28945074,4.81047425682534,4.96904844359174,90.2204757397159,5053479.19905546,57.8,94.8,7.52176967125,99.3,35.3333333333333,204.144063591875,76.8666666666667,8.5,61.4333333333333,32.0369866666667,33.9666666666667,4.319375,96.125,92.4375,87.5625,86.6666666666667,94.1875,94.5,94.6875,157.21442839875,38.01571354625,63.5625,99.5722846984863,99.9309356689453,29.5833333333333,17.9375,24.90625,5053479.19905546,1.075,5053479.19905546,5053479.19905546,293333.333333333,5.14248666666667,0.0481608318035711,97.4290963165298,89.9022767247743,82.9772600369808,13.409708544184,87.909644719752,2.71584375,5053479.19905546,5053479.19905546,29.45,45.4625,50.09375,2.77111878991127,4.03333333333333,19.00625,7.05384615384615,100.394790649414,4.6465675,86.3,5.125,5.2,10.7510625,15.85,5053479.19905546,5053479.19905546,5053479.19905546,85.0,17.0,50.0,88.0,38.0,25.0,87.5625,274.25,44.70625,87.375,0.1,1999.98631765,89.125,11.7875,3.7596784734917694,72.4273125
Aruba,27.65,30.55,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,96.0,5053479.19905546,5053479.19905546,5053479.19905546,12.25,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,10.93125,97.0569458007813,99.0824127197266,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,1.09832564135908,96.4958102143855,98.268637171529,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5.49907285826547,5053479.19905546,5053479.19905546,5053479.19905546,111.894278049469,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,80.8624287629903,2331.64052547771,38.3258091547313,82.1931158079582,1.67714968152866,7550.51271225188,82.1964242314101,12.0405606844372,4.60464400348164,74.5215
Australia,29.5,31.3333333333333,0.518256127142857,4.29794888455245,5.76892457891593,89.9331267246411,0.123,5053479.19905546,5053479.19905546,8.3983437725,99.225,61.25,3897.95128631625,5053479.19905546,3.3,5053479.19905546,5053479.19905546,5053479.19905546,3.86533333333333,5053479.19905546,91.9375,93.4,93.25,91.8125,93.75,87.9166666666667,1112.44575024938,2785.50546425375,6.28125,5053479.19905546,5053479.19905546,5053479.19905546,7.34375,10.71875,5053479.19905546,0.24375,5053479.19905546,5053479.19905546,5053479.19905546,10.6294266666667,0.0,99.8280489766302,99.9944933398334,5053479.19905546,94.3314453305989,5053479.19905546,2.99416875,5053479.19905546,0.1,19.85,29.7125,60.35625,5.00755329926809,0.5,7.5125,0.0538461538461539,103.678938388824,10.7162925,60.955,11.53125,5053479.19905546,5.499375,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,38.0,73.0,61.0,51.0,56.0,71.0,92.6225526315789,103.9375,55.8625,86.875,0.1,34637.565046875,86.75,20.0375,9.80905347349177,81.1333841463415
Austria,26.85,29.65,0.65967902875,2.70596819373189,5.49376995395792,91.8002623565286,5053479.19905546,5053479.19905546,5053479.19905546,9.827118158125,98.4875,71.6333333333333,4123.17315673875,5053479.19905546,6.6,5053479.19905546,5053479.19905546,5053479.19905546,7.70625,5053479.19905546,86.75,81.0625,85.5,86.0,82.125,60.9375,1120.69933500375,3002.47379613375,11.09375,5053479.19905546,5053479.19905546,5053479.19905546,8.68125,12.7875,5053479.19905546,0.2125,5053479.19905546,5053479.19905546,5053479.19905546,6.413625,0.0,99.9999989349379,99.9899048191746,97.9650893155813,99.6829081035012,5053479.19905546,4.53075,13.8,5053479.19905546,41.1,39.8,50.73125,5.44950878620148,5053479.19905546,11.46875,0.0,101.188207149506,12.4817825,125.515,17.03125,5053479.19905546,5.015625,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,11.0,77.0,79.0,70.0,47.0,63.0,81.0625,77.25,48.2875,86.75,0.1,33827.47630875,86.0,15.3875,11.7596784734918,79.9791158536586
Azerbaijan,24.0857142857143,27.8428571428571,0.358789528125,12.1438184605503,4.78574917563811,83.0704325069601,5053479.19905546,24.6,86.575,2.695627786875,95.225,32.1666666666667,109.256093620625,76.8,2.8,44.4666666666667,9.800472,24.7,7.016,90.1875,82.3125,70.7857142857143,81.6,84.8125,79.9375,80.4666666666667,67.380392169375,40.501173141875,87.5625,99.7556238174439,99.9582383897569,290.5625,12.14375,30.6125,5053479.19905546,1.0125,5053479.19905546,5053479.19905546,766666.666666667,7.81578666666667,0.167736386194485,82.8702056492648,78.8345094037039,63.362368499135,54.7967735136382,89.254117531561,3.554725,16.0285714285714,0.16875,26.925,39.175,48.0875,2.89382001757622,7.94,37.3875,17.7615384615385,97.6250891685486,1.656675,65.28,4.23125,6.55,7.04875,13.45,5053479.19905546,5053479.19905546,5053479.19905546,85.0,28.0,50.0,88.0,59.0,22.0,61.9326052631579,598.1875,43.84375,82.3125,0.1,3302.94780699375,75.8125,11.35,1.21842847349177,68.535
"Bahamas, The",27.65,30.25,0.0729698421428571,19.3060515423867,11.7350176286361,68.9589308627654,5053479.19905546,5053479.19905546,5053479.19905546,4.667578309375,98.75625,5053479.19905546,1287.96186065688,5053479.19905546,12.1,5053479.19905546,5053479.19905546,5053479.19905546,3.13466667302667,5053479.19905546,95.75,89.0,95.25,95.0,91.875,79.8333333333333,733.505234593125,547.12105854,15.75,5053479.19905546,5053479.19905546,5053479.19905546,15.3,19.99375,5053479.19905546,0.2,5053479.19905546,94.75,5053479.19905546,4.0508,0.679830966700314,98.566228054078,91.4588147653161,5053479.19905546,5053479.19905546,5053479.19905546,2.5317,5053479.19905546,1.925,10.675,42.39375,59.88125,2.59843093698675,5053479.19905546,14.85,5053479.19905546,96.9782161712647,4.550795,5053479.19905546,3.10625,5053479.19905546,11.0654375,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,80.8624287629903,2331.64052547771,38.3258091547313,82.1931158079582,1.67714968152866,7550.51271225188,82.1964242314101,12.0405606844372,4.60464400348164,72.6468125
Bahrain,26.6,30.0,5053479.19905546,5.91837811609176,10.7954720565681,83.2861496680655,5053479.19905546,5053479.19905546,5053479.19905546,3.802249149375,98.4875,5053479.19905546,754.066520690625,5053479.19905546,17.15,5053479.19905546,5053479.19905546,5053479.19905546,2.36375,5053479.19905546,98.0625,98.125,98.0,98.0,98.875,98.1875,253.071842670625,500.9946740425,27.875,89.9420471191406,97.4930597941081,5053479.19905546,13.41875,22.1625,5053479.19905546,0.2,5053479.19905546,93.9375,5053479.19905546,2.65718571428571,0.0,99.9441280081842,99.9698973924884,98.9125354364549,88.1468765910964,5053479.19905546,0.993575,5053479.19905546,0.1,19.175,39.23125,61.18125,2.82730815627358,5053479.19905546,38.7875,5053479.19905546,98.9629980723064,2.302205,19.4,8.51875,5053479.19905546,1.14,5053479.19905546,5053479.19905546,5053479.19905546,5053479.19905546,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,98.125,6.6875,51.65625,98.0625,0.1,11191.247420625,98.0,14.1125,2.10217847349177,77.7095625
Bangladesh,18.8875,25.425,0.237896265625,37.3442377873413,7.23992584245783,55.4158361773726,0.29175,5053479.19905546,78.5,2.53472389375,22.3,5053479.19905546,17.501312076875,79.44,10.5,58.6571428571429,48.62528,11.02,0.485,97.1875,92.8125,77.6923076923077,94.7142857142857,92.625,86.1875,75.5,12.357752859375,3.6092229525,221.0,56.8607428414481,80.0355124473572,52173.6875,15.66875,21.70625,5053479.19905546,0.29375,5053479.19905546,91.8125,21093333.3333333,0.221958333333333,9.70090835055695,96.1087203223251,36.561609854394,55.350356272746,16.4905991988493,27.3512030263688,0.356907142857143,40.1333333333333,0.1,47.7,28.15,15.225,2.05483511516026,37.8384615384615,35.70625,69.6538461538462,102.92276763916,0.003705,2.975,4.6,32.22,4.0823125,14.8992041166667,5053479.19905546,5053479.19905546,73.0,80.0,5.0,55.0,60.0,38.0,20.0,78.2426578947368,4649.9375,12.875,92.75,0.1,443.561481025,87.5,8.69375,0.297803473491773,67.8305
Barbados,24.45,34.5,0.1247975225,14.2961453319997,4.38920735224991,81.3146482265829,5053479.19905546,5053479.19905546,36.8,6.65441226875,99.5928571428571,48.6,1011.78641891438,5053479.19905546,12.8,5053479.19905546,19.69695,5053479.19905546,6.68818181818182,5053479.19905546,89.9375,84.0666666666667,83.8666666666667,90.4375,91.25,83.6,454.74449928062495,538.4354136875,2.57125,99.5999984741211,99.9333343505859,5053479.19905546,10.9625,16.3375,5053479.19905546,0.31875,5053479.19905546,5053479.19905546,100000.0,5.45663333333333,0.769886363636362,98.3994341007301,92.6044564884187,5053479.19905546,5053479.19905546,88.4693506083686,1.55183333333333,5053479.19905546,0.95,9.475,40.325,46.98125,5.5602285180773,3.5,18.35,5053479.19905546,98.0671130589076,8.069575,17.2,1.2625,5053479.19905546,10.0275,19.9,5053479.19905546,5053479.19905546,5053479.19905546,65.9433962264151,40.2830188679245,46.1981132075472,66.1132075471698,39.58333333333329,45.8837209302326,83.8725526315789,0.0,45.975,89.9375,0.25625,12017.098529375,80.3125,14.89375,7.98217847349177,75.3409375
